Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
3,< 2,Texas (10),Big 12,,1424,W 47-14 A Baylor,10-0,3, *2 ,,
4,< 4,TCU,MWC,,1307,W 55-28 H #16 Utah,10-0,4, 4 ,,
5,< 5,Cincinnati,Big East,,1247,W 24-21 H West Virginia,10-0,5, 5 ,,
6,< 6,Boise State,WAC,,1213,W 63-25 H Idaho,10-0,6, 6 ,,
7,< 7,Georgia Tech,ACC,,1139,W 49-10 A Duke,10-1,7, 7 ,,
8,< 8,Pittsburgh,Big East,,1030,W 27-22 H Notre Dame,9-1,9, 9 ,,
9,< 10,Ohio State,Big Ten,,990,W 27-24 (1OT) H #15 Iowa,9-2,10, 8 ,,
10,< 9,LSU,SEC,,968,W 24-16 H Louisiana Tech,8-2,8, 10 ,,
11,< 14,Oregon,Pac-10,,918,W 44-21 H Arizona State,8-2,11, 11 ,,
12,< 17,Oklahoma State,Big 12,,754,W 24-17 H Texas Tech,8-2,12, 13 ,,
13,< 19,Penn State,Big Ten,,689,W 31-20 H Indiana,9-2,14, 12 ,,
14,< 25,Stanford,Pac-10,,652,W 55-21 A #11 USC,7-3,17, 17 ,,
15,< 15,Iowa,Big Ten,,633,L 27-24 (1OT) A #10 Ohio State,9-2,13, 15 ,,
16,< 20,Virginia Tech,ACC,,559,W 36-9 A Maryland,7-3,15, 16 ,,
17,< 21,Wisconsin,Big Ten,,547,W 45-24 H Michigan,8-2,16, 14 ,,
18,< 24,Clemson,ACC,,442,W 43-23 A NC State,7-3,23, 19 ,,
19,< 22,BYU,MWC,,344,W 24-19 A New Mexico,8-2,22, 18 ,,
20,< NR,Oregon State,Pac-10,,338,W 48-21 H Washington,7-3,19, 20 ,,
21,< 12,Miami (FL),ACC,,255,L 33-24 A North Carolina,7-3,20, 24 ,,
22,< 11,USC,Pac-10,,223,L 55-21 H #25 Stanford,7-3,18, 21 ,,
23,< 16,Utah,MWC,,183,L 55-28 A #4 TCU,8-2,21, 23 ,,
24,< 13,Houston,C-USA,,149,L 37-32 A UCF,8-2,24, 22 ,,
25,< NR,Rutgers,Big East,,145,W 31-0 H #23 South Florida,7-2,NR, RV ,,
RV,< NR,North Carolina,ACC,,144,L 24-7 A Georgia Tech,7-3,NR, 25 ,,
RV,< NR,Nebraska,Big 12,,64,L 31-10 H Texas Tech,7-3,NR, 25 ,,
RV,< NR,California,Pac-10,,53, ,,25, RV ,,
RV,< 18,Arizona,Pac-10,,50,L 24-16 A California,6-3,NR, RV ,,
RV,< NR,Mississippi,SEC,,45, ,,NR, RV ,,
RV,< NR,Navy,Ind,,41, ,,NR, RV ,,
RV,< NR,Temple,MAC,,23, ,,NR, RV ,,
RV,< NR,Auburn,SEC,,9, ,,NR, RV ,,
RV,< NR,Georgia,SEC,,9, ,,NR, RV ,,
RV,< NR,West Virginia,Big East,,8, ,,NR, RV ,,
RV,< NR,Oklahoma,Big 12,,5, ,,NR, RV ,,
RV,< NR,Texas Tech,Big 12,,4, ,,NR, RV ,,
RV,< NR,Boston College,ACC,,3, ,,NR, RV ,,
RV,< NR,Nevada,WAC,,1, ,,NR, RV ,,
NR,< NR,Air Force,MWC,,0, ,,NR, NR ,,
NR,< NR,Central Michigan,MAC,,0, ,,NR, RV ,,
NR,< NR,Northwestern,Big Ten,,0, ,,NR, RV ,,
NR,< 23,South Florida,Big East,,0,L 31-0 A Rutgers,6-3,NR, NR ,,
1,< 1,Florida (36),SEC,,1463,W 62-3 H FIU,11-0,1, *1 ,,
2,< 2,Alabama (13),SEC,,1428,W 45-0 H Chattanooga,11-0,2, *3 ,,
3,< 3,Texas (11),Big 12,,1425,W 51-20 H Kansas,11-0,3, *2 ,,
4,< 4,TCU,MWC,,1309,W 45-10 A Wyoming,11-0,4, 4 ,,
5,< 5,Cincinnati,Big East,,1245,DNP,10-0,5, 5 ,,
6,< 6,Boise State,WAC,,1218,W 52-21 A Utah State,11-0,6, 6 ,,
7,< 7,Georgia Tech,ACC,,1138,DNP,10-1,7, 7 ,,
8,< 8,Pittsburgh,Big East,,1041,DNP,9-1,9, 9 ,,
9,< 9,Ohio State,Big Ten,,1016,W 21-10 A Michigan,10-2,10, 8 ,,
10,< 11,Oregon,Pac-10,,983,W 44-41 (2OT) A Arizona,9-2,8, 10 ,,
11,< 12,Oklahoma State,Big 12,,793,W 31-28 H Colorado,9-2,12, 12 ,,
12,< 13,Penn State,Big Ten,,773,W 42-14 A Michigan State,10-2,13, 11 ,,
13,< 15,Iowa,Big Ten,,766,W 12-0 H Minnesota,10-2,11, 13 ,,
14,< 16,Virginia Tech,ACC,,675,W 38-10 H NC State,8-3,14, 14 ,,
15,< 18,Clemson,ACC,,609,W 34-21 H Virginia,8-3,18, 16 ,,
16,< 20,Oregon State,Pac-10,,541,W 42-10 A Washington State,8-3,16, 18 ,,
17,< 10,LSU,SEC,,409,L 25-23 A Mississippi,8-3,15, 17 ,,
18,< 19,BYU,MWC,,399,W 38-21 H Air Force,9-2,19, 15 ,,
19,< 21,Miami (FL),ACC,,347,W 34-16 H Duke,8-3,17, 21 ,,
20,< NR,Mississippi,SEC,,333,W 25-23 H #10 LSU,8-3,25, 25 ,,
21,< NR,California,Pac-10,,263,W 34-28 A #14 Stanford,8-3,22, RV ,,
22,< 23,Utah,MWC,,249,W 38-7 H San Diego State,9-2,21, 19 ,,
23,< NR,North Carolina,ACC,,237,W 31-13 A Boston College,8-3,24, 24 ,,
24,< 22,USC,Pac-10,,225,DNP,7-3,20, 22 ,,
25,< 24,Houston,C-USA,,199,W 55-14 H Memphis,9-2,23, 20 ,,
RV,< 14,Stanford,Pac-10,,169,L 34-28 H California,7-4,NR, RV ,,
RV,< NR,Nebraska,Big 12,,126,W 17-3 H Kansas State,8-3,NR, 23 ,,
RV,< 17,Wisconsin,Big Ten,,40,L 33-31 A Northwestern,8-3,NR, RV ,,
RV,< NR,Temple,MAC,,32,W 47-13 H Kent State,9-2,NR, RV ,,
RV,< NR,Navy,Ind,,24,DNP,8-3,NR, RV ,,
RV,< NR,Texas Tech,Big 12,,11,W 41-13 H Oklahoma,7-4,NR, RV ,,
RV,< NR,Northwestern,Big Ten,,3,W 33-31 H Wisconsin,8-4,NR, RV ,,
RV,< NR,West Virginia,Big East,,3,DNP,7-3,NR, RV ,,
RV,< NR,Auburn,SEC,,2,DNP,7-4,NR, RV ,,
RV,< NR,Kentucky,SEC,,2,W 34-27 A Georgia,7-4,NR, RV ,,
RV,< NR,Nevada,WAC,,2,W 63-20 A New Mexico State,8-3,NR, RV ,,
RV,< NR,Arizona,Pac-10,,1,L 44-41 (2OT) H #11 Oregon,6-4,NR, RV ,,
RV,< NR,Central Michigan,MAC,,1,W 35-3 A Ball State,9-2,NR, RV ,,
NR,< NR,Arkansas,SEC,,0,W 42-21 H Mississippi State,7-4,NR, RV ,,
NR,< NR,Missouri,Big 12,,0,W 34-24 H Iowa State,7-4,NR, RV ,,
NR,< NR,Oklahoma,Big 12,,0,L 41-13 A Texas Tech,6-5,NR, NR ,,
NR,< 25,Rutgers,Big East,,0,L 31-13 A Syracuse,7-3,NR, NR ,,
NR,< NR,South Florida,Big East,,0,W 34-22 H Louisville,7-3,NR, RV ,,
NR,< NR,Tennessee,SEC,,0,W 31-16 H Vanderbilt,6-5,NR, NR ,,
NR,< NR,Troy,Sun Belt,,0,W 47-21 H Florida Atlantic,8-3,NR, RV ,,
1,< 1,Florida (46),SEC,,1483,W 37-10 H Florida State,12-0,1, *1 ,,
2,< 2,Alabama (7),SEC,,1416,W 26-21 A Auburn,12-0,2, *3 ,,
3,< 3,Texas (7),Big 12,,1414,W 49-39 A Texas A&M,12-0,3, *2 ,,
4,< 4,TCU,MWC,,1316,W 51-10 H New Mexico,12-0,4, 4 ,,
5,< 5,Cincinnati,Big East,,1249,W 49-36 H Illinois,11-0,5, 5 ,,
6,< 6,Boise State,WAC,,1216,W 44-33 H Nevada,12-0,6, 6 ,,
7,< 10,Oregon,Pac-10,,1104,DNP,9-2,7, 8 ,,
8,< 9,Ohio State,Big Ten,,1103,DNP,10-2,8, 7 ,,
9,< 13,Iowa,Big Ten,,920,DNP,10-2,9, 10 ,,
10,< 12,Penn State,Big Ten,,897,DNP,10-2,11, 9 ,,
11,< 14,Virginia Tech,ACC,,860,W 42-13 A Virginia,9-3,12, 11 ,,
12,< 7,Georgia Tech,ACC,,820,L 30-24 H Georgia,10-2,10, 12 ,,
13,< 16,Oregon State,Pac-10,,719,DNP,8-3,16, 16 ,,
14,< 8,Pittsburgh,Big East,,642,L 19-16 A West Virginia,9-2,15, 15 ,,
15,< 17,LSU,SEC,,614,W 33-30 (1OT) H Arkansas,9-3,13, 14 ,,
16,< 18,BYU,MWC,,610,W 26-23 (1OT) H #22 Utah,10-2,14, 13 ,,
17,< 19,Miami (FL),ACC,,572,W 31-10 A South Florida,9-3,17, 17 ,,
18,< 25,Houston,C-USA,,400,W 73-14 H Rice,10-2,21, 18 ,,
19,< 21,California,Pac-10,,398,DNP,8-3,19, 22 ,,
20,< 24,USC,Pac-10,,365,W 28-7 H UCLA,8-3,18, 19 ,,
21,< NR,Nebraska,Big 12,,289,W 28-20 A Colorado,9-3,22, 20 ,,
22,< 11,Oklahoma State,Big 12,,269,L 27-0 A Oklahoma,9-3,20, 21 ,,
23,< NR,Stanford,Pac-10,,266,W 45-38 H Notre Dame,8-4,24, 24 ,,
24,< NR,West Virginia,Big East,,225,W 19-16 H #8 Pittsburgh,8-3,23, 23 ,,
25,< 15,Clemson,ACC,,87,L 34-17 A South Carolina,8-4,NR, RV ,,
RV,< 22,Utah,MWC,,84,L 26-23 (1OT) A #18 BYU,9-3,25, 25 ,,
RV,< NR,Wisconsin,Big Ten,,41,DNP,8-3,NR, RV ,,
RV,< NR,Texas Tech,Big 12,,21,W 20-13 N Baylor,8-4,NR, RV ,,
RV,< NR,Arizona,Pac-10,,20,W 20-17 A Arizona State,7-4,NR, RV ,,
RV,< 20,Mississippi,SEC,,20,L 41-27 A Mississippi State,8-4,NR, RV ,,
RV,< NR,Northwestern,Big Ten,,18,DNP,8-4,NR, RV ,,
RV,< NR,Central Michigan,MAC,,14,W 45-31 H Northern Illinois,10-2,NR, RV ,,
RV,< 23,North Carolina,ACC,,8,L 28-27 A NC State,8-4,NR, RV ,,
RV,< NR,Tennessee,SEC,,6,W 30-24 (1OT) A Kentucky,7-5,NR, NR ,,
RV,< NR,Oklahoma,Big 12,,5,W 27-0 H #11 Oklahoma State,7-5,NR, RV ,,
RV,< NR,Rutgers,Big East,,4,W 34-14 A Louisville,8-3,NR, RV ,,
RV,< NR,East Carolina,C-USA,,3,W 25-20 H Southern Miss,8-4,NR, NR ,,
RV,< NR,Missouri,Big 12,,2,W 41-39 N Kansas,8-4,NR, RV ,,
NR,< NR,Arkansas,SEC,,0,L 33-30 (1OT) A #17 LSU,7-5,NR, RV ,,
NR,< NR,Georgia,SEC,,0,W 30-24 A #7 Georgia Tech,7-5,NR, RV ,,
NR,< NR,Middle Tennessee,Sun Belt,,0,W 38-19 A Louisiana-Monroe,9-3,NR, RV ,,
NR,< NR,Mississippi State,SEC,,0,W 41-27 H #20 Mississippi,5-7,NR, NR ,,
NR,< NR,Navy,Ind,,0,L 24-17 A Hawaii,8-4,NR, RV ,,
NR,< NR,Ohio,MAC,,0,W 35-17 H Temple,9-3,NR, NR ,,
NR,< NR,South Carolina,SEC,,0,W 34-17 H #15 Clemson,7-5,NR, RV ,,
NR,< NR,Temple,MAC,,0,L 35-17 A Ohio,9-3,NR, NR ,,
NR,< NR,Troy,Sun Belt,,0,W 48-31 A Louisiana-Lafayette,9-3,NR, RV ,,
1,< 2,Alabama (58),SEC,,1498,W 32-13 N #1 Florida (SEC),13-0,1, *1 ,,
2,< 3,Texas (2),Big 12,,1425,W 13-12 N #21 Nebraska (Big 12),13-0,2, *2 ,,
3,< 4,TCU,MWC,,1376,DNP,12-0,4, 3 ,,
4,< 5,Cincinnati,Big East,,1302,W 45-44 A #14 Pittsburgh,12-0,3, *4 ,,
5,< 1,Florida,SEC,,1253,L 32-13 N #2 Alabama (SEC CG),12-1,5, 5 ,,
6,< 6,Boise State,WAC,,1237,W 42-7 H New Mexico State,13-0,6, 6 ,,
7,< 7,Oregon,Pac-10,,1128,W 37-33 H #13 Oregon State,10-2,7, 7 ,,
8,< 8,Ohio State,Big Ten,,1080,DNP,10-2,8, 8 ,,
9,< 12,Georgia Tech,ACC,,952,W 39-34 N #25 Clemson (ACC),11-2,9, 10 ,,
10,< 9,Iowa,Big Ten,,925,DNP,10-2,10, 11 ,,
11,< 10,Penn State,Big Ten,,883,DNP,10-2,13, 9 ,,
12,< 11,Virginia Tech,ACC,,866,DNP,9-3,11, 12 ,,
13,< 15,LSU,SEC,,686,DNP,9-3,12, 13 ,,
14,< 17,Miami (FL),ACC,,660,DNP,9-3,15, 15 ,,
15,< 16,BYU,MWC,,658,DNP,10-2,14, 14 ,,
16,< 13,Oregon State,Pac-10,,524,DNP,8-4,18, 20 ,,
17,< 14,Pittsburgh,Big East,,514,L 45-44 H #5 Cincinnati,9-3,17, 16 ,,
18,< 24,West Virginia,Big East,,447,W 24-21 A Rutgers,9-3,16, 17 ,,
19,< 23,Stanford,Pac-10,,390,DNP,8-4,21, 21 ,,
20,< 21,Nebraska,Big 12,,371,L 13-12 N #3 Texas (Big 12),9-4,22, 19 ,,
21,< 22,Oklahoma State,Big 12,,349,DNP,9-3,19, 18 ,,
22,< NR,Arizona,Pac-10,,323,W 21-17 A #20 USC,8-4,20, 23 ,,
23,< NR,Utah,MWC,,151,DNP,9-3,23, 24 ,,
24,< NR,Wisconsin,Big Ten,,133,W 51-10 A Hawaii,9-3,25, 22 ,,
25,< NR,Central Michigan,MAC,,64,W 20-10 N Ohio (MAC),11-2,NR, RV ,,
RV,< NR,East Carolina,C-USA,,53,W 38-32 H #18 Houston (C-USA),9-4,NR, RV ,,
RV,< 18,Houston,C-USA,,50,L 38-32 A East Carolina (C-USA),10-3,NR, 25 ,,
RV,< NR,Texas Tech,Big 12,,44,DNP,8-4,NR, RV ,,
RV,< NR,Northwestern,Big Ten,,35,DNP,8-4,NR, RV ,,
RV,< 25,Clemson,ACC,,31,L 39-34 N #12 Georgia Tech (ACC),8-5,NR, RV ,,
RV,< 19,California,Pac-10,,14,L 42-10 A Washington,8-4,NR, RV ,,
RV,< NR,Mississippi,SEC,,14,DNP,8-4,NR, RV ,,
RV,< 20,USC,Pac-10,,8,L 21-17 H Arizona,8-4,24, RV ,,
RV,< NR,North Carolina,ACC,,7,DNP,8-4,NR, RV ,,
RV,< NR,Oklahoma,Big 12,,7,DNP,7-5,NR, RV ,,
RV,< NR,Tennessee,SEC,,6,DNP,7-5,NR, NR ,,
RV,< NR,Missouri,Big 12,,4,DNP,8-4,NR, RV ,,
RV,< NR,Georgia,SEC,,1,DNP,7-5,NR, RV ,,
RV,< NR,Montana,Other,,1,W 51-0 H Stephen F. Austin,13-0,NR, NR ,,
NR,< NR,Connecticut,Big East,,0,W 29-27 H South Florida,7-5,NR, NR ,,
NR,< NR,Middle Tennessee,Sun Belt,,0,DNP,9-3,NR, RV ,,
NR,< NR,Navy,Ind,,0,DNP,8-4,NR, RV ,,
NR,< NR,Nevada,WAC,,0,DNP,8-4,NR, RV ,,
NR,< NR,South Carolina,SEC,,0,DNP,7-5,NR, RV ,,
NR,< NR,Temple,MAC,,0,DNP,9-3,NR, NR ,,
NR,< NR,Troy,Sun Belt,,0,DNP,9-3,NR, RV ,,
1,< 1,Alabama (60),SEC,,1500,W 37-21 N #2 Texas (BCS NC),14-0,, *1 ,,
2,< 2,Texas,Big 12,,1399,L 37-21 N #1 Alabama (BCS),13-1,, 2 ,,
3,< 5,Florida,SEC,,1370,W 51-24 N #4 Cincinnati (Sugar),13-1,, 3 ,,
4,< 6,Boise State,WAC,,1366,W 17-10 N #3 TCU (Fiesta),14-0,, 4 ,,
5,< 8,Ohio State,Big Ten,,1224,W 26-17 N #7 Oregon (Rose),11-2,, 5 ,,
6,< 3,TCU,MWC,,1163,L 17-10 N #6 Boise State (Fiesta),12-1,, 6 ,,
7,< 10,Iowa,Big Ten,,1126,W 24-14 N #9 Georgia Tech (Orange),11-2,, 7 ,,
8,< 4,Cincinnati,Big East,,1060,L 51-24 N #5 Florida (Sugar),12-1,, 9 ,,
9,< 11,Penn State,Big Ten,,1016,W 19-17 N #13 LSU (Capital One),11-2,, 8 ,,
10,< 12,Virginia Tech,ACC,,953,W 37-14 N Tennessee (Chick-fil-A),10-3,, 10 ,,
11,< 7,Oregon,Pac-10,,886,L 26-17 N #8 Ohio State (Rose),10-3,, 11 ,,
12,< 15,BYU,MWC,,806,W 44-20 N #16 Oregon State (Las Vegas),11-2,, 12 ,,
13,< 9,Georgia Tech,ACC,,768,L 24-14 N #10 Iowa (Orange),11-3,, 13 ,,
14,< 20,Nebraska,Big 12,,724,W 33-0 N #22 Arizona (Holiday),10-4,, 14 ,,
15,< 17,Pittsburgh,Big East,,697,W 19-17 N North Carolina (Meineke Car Care),10-3,, 15 ,,
16,< 24,Wisconsin,Big Ten,,571,W 20-14 N #14 Miami (FL) (Champ Sports),10-3,, 16 ,,
17,< 13,LSU,SEC,,501,L 19-17 N #11 Penn State (Capital One),9-4,, 17 ,,
18,< 23,Utah,MWC,,491,W 37-27 N California (Poinsettia),10-3,, 18 ,,
19,< 14,Miami (FL),ACC,,310,L 20-14 N #24 Wisconsin (Champ Sports),9-4,, 19 ,,
20,< NR,Mississippi,SEC,,296,W 21-7 N #21 Oklahoma State (Cotton),9-4,, 21 ,,
21,< NR,Texas Tech,Big 12,,224,W 41-31 N Michigan State (Alamo),9-4,, 23 ,,
22,< NR,USC,Pac-10,,216,W 24-13 N Boston College (Emerald),9-4,, 20 ,,
23,< 25,Central Michigan,MAC,,166,W 44-41 (2OT) N Troy (GMAC),12-2,, 24 ,,
24,< NR,Clemson,ACC,,125,W 21-13 N Kentucky (Music City),9-5,, RV ,,
25,< 18,West Virginia,Big East,,91,L 33-21 N Florida State (Gator),9-4,, 22 ,,
RV,< NR,Oklahoma,Big 12,,90,W 31-27 N #19 Stanford (Sun),8-5,, RV ,,
RV,< 16,Oregon State,Pac-10,,89,L 44-20 N #15 BYU (Las Vegas),8-5,, RV ,,
RV,< NR,Navy,Ind,,85,W 35-13 N Missouri (Texas),10-4,, RV ,,
RV,< 19,Stanford,Pac-10,,67,L 31-27 N Oklahoma (Sun),8-5,, RV ,,
RV,< 21,Oklahoma State,Big 12,,40,L 21-7 N Mississippi (Cotton),9-4,, 25 ,,
RV,< NR,Rutgers,Big East,,37,W 45-24 N UCF,9-4,, RV ,,
RV,< NR,Auburn,SEC,,8,W 38-35 (1OT) N Northwestern (Outback),8-5,, RV ,,
RV,< NR,Georgia,SEC,,7,W 44-20 N Texas A&M (Independence),8-5,, RV ,,
RV,< NR,Florida State,ACC,,6,W 33-21 N #18 West Virginia (Gator),7-6,, RV ,,
RV,< 22,Arizona,Pac-10,,5,L 33-0 N #20 Nebraska (Holiday),8-5,, RV ,,
RV,< NR,Connecticut,Big East,,5,W 20-7 N South Carolina (PapaJohns.com),8-5,, RV ,,
RV,< NR,Middle Tennessee,Sun Belt,,4,W 42-32 N Southern Miss (New Orleans),10-3,, RV ,,
RV,< NR,Air Force,MWC,,3,W 47-20 N Houston (Armed Forces),8-5,, RV ,,
RV,< NR,Arkansas,SEC,,3,W 20-17 (1OT) N East Carolina (Liberty),8-5,, RV ,,
RV,< NR,Villanova,Other,,2,W 23-21 N Montana (FCS NC),14-1,, NR ,,
NR,< NR,East Carolina,C-USA,,0,L 20-17 (1OT) N Arkansas (Liberty),9-5,, RV ,,
NR,< NR,Houston,C-USA,,0,L 47-20 N Air Force (Armed Forces),10-4,, RV ,,
NR,< NR,Northwestern,Big Ten,,0,L 38-35 (1OT) N Auburn (Outback),8-5,, RV ,,
NR,< NR,SMU,C-USA,,0,W 45-10 N Nevada (Hawaii),8-5,, RV ,,
1,< 1,Alabama (54),SEC,,1491,DNP,0-0,, *1 ,,
2,< 5,Ohio State (3),Big Ten,,1400,DNP,0-0,, *2 ,,
3,< 4,Boise State (1),WAC,,1336,DNP,0-0,, 5 ,,
4,< 3,Florida,SEC,,1237,DNP,0-0,, 3 ,,
5,< 2,Texas (1),Big 12,,1223,DNP,0-0,, 4 ,,
6,< 6,TCU,MWC,,1160,DNP,0-0,, 7 ,,
7,< NR,Oklahoma (1),Big 12,,1104,DNP,0-0,, 8 ,,
8,< 14,Nebraska,Big 12,,1033,DNP,0-0,, 9 ,,
9,< 7,Iowa,Big Ten,,1007,DNP,0-0,, 10 ,,
10,< 10,Virginia Tech,ACC,,973,DNP,0-0,, 6 ,,
11,< 11,Oregon,Pac-10,,870,DNP,0-0,, 11 ,,
12,< 16,Wisconsin,Big Ten,,822,DNP,0-0,, 12 ,,
13,< 19,Miami (FL),ACC,,785,DNP,0-0,, 13 ,,
14,< 22,USC,Pac-10,,590,DNP,0-0,, NR ,,
15,< 15,Pittsburgh,Big East,,516,DNP,0-0,, 15 ,,
16,< 13,Georgia Tech,ACC,,511,DNP,0-0,, 17 ,,
17,< NR,Arkansas,SEC,,496,DNP,0-0,, 19 ,,
18,< NR,North Carolina,ACC,,397,DNP,0-0,, 18 ,,
19,< 9,Penn State,Big Ten,,382,DNP,0-0,, 14 ,,
20,< NR,Florida State,ACC,,379,DNP,0-0,, 20 ,,
21,< 17,LSU,SEC,,300,DNP,0-0,, 16 ,,
22,< NR,Auburn,SEC,,296,DNP,0-0,, 23 ,,
23,< NR,Georgia,SEC,,206,DNP,0-0,, 21 ,,
24,< NR,Oregon State,Pac-10,,198,DNP,0-0,, 22 ,,
25,< 25,West Virginia,Big East,,184,DNP,0-0,, 24 ,,
RV,< 8,Cincinnati,Big East,,108,DNP,0-0,, RV ,,
RV,< NR,Stanford,Pac-10,,81,DNP,0-0,, RV ,,
RV,< 18,Utah,MWC,,80,DNP,0-0,, 24 ,,
RV,< NR,South Carolina,SEC,,71,DNP,0-0,, RV ,,
RV,< NR,Houston,C-USA,,66,DNP,0-0,, RV ,,
RV,< NR,Connecticut,Big East,,32,DNP,0-0,, RV ,,
RV,< NR,Notre Dame,Ind,,31,DNP,0-0,, RV ,,
RV,< NR,Missouri,Big 12,,27,DNP,0-0,, RV ,,
RV,< 12,BYU,MWC,,19,DNP,0-0,, RV ,,
RV,< NR,Arizona,Pac-10,,15,DNP,0-0,, RV ,,
RV,< 24,Clemson,ACC,,15,DNP,0-0,, RV ,,
RV,< 21,Texas Tech,Big 12,,14,DNP,0-0,, RV ,,
RV,< NR,Navy,Ind,,12,DNP,0-0,, RV ,,
RV,< NR,Washington,Pac-10,,8,DNP,0-0,, RV ,,
RV,< NR,Texas A&M,Big 12,,7,DNP,0-0,, RV ,,
RV,< 20,Mississippi,SEC,,6,DNP,0-0,, RV ,,
RV,< NR,Oklahoma State,Big 12,,3,DNP,0-0,, RV ,,
RV,< 23,Central Michigan,MAC,,2,DNP,0-0,, RV ,,
RV,< NR,Middle Tennessee,Sun Belt,,2,DNP,0-0,, NR ,,
RV,< NR,Temple,MAC,,2,DNP,0-0,, RV ,,
RV,< NR,Boston College,ACC,,1,DNP,0-0,, RV ,,
RV,< NR,SMU,C-USA,,1,DNP,0-0,, RV ,,
RV,< NR,UCF,C-USA,,1,DNP,0-0,, NR ,,
NR,< NR,Arizona State,Pac-10,,0,DNP,0-0,, RV ,,
NR,< NR,California,Pac-10,,0,DNP,0-0,, RV ,,
NR,< NR,Michigan State,Big Ten,,0,DNP,0-0,, RV ,,
NR,< NR,Mississippi State,SEC,,0,DNP,0-0,, RV ,,
NR,< NR,Nevada,WAC,,0,DNP,0-0,, RV ,,
NR,< NR,Northern Illinois,MAC,,0,DNP,0-0,, RV ,,
NR,< NR,Northwestern,Big Ten,,0,DNP,0-0,, RV ,,
NR,< NR,South Florida,Big East,,0,DNP,0-0,, RV ,,
1,< 1,Alabama (47),SEC,,1484,W 48-3 H San Jose State,1-0,, *1 ,,
2,< 2,Ohio State (4),Big Ten,,1412,W 45-7 H Marshall,1-0,, *2 ,,
3,< 3,Boise State (8),WAC,,1399,W 33-30 N #10 Virginia Tech,1-0,, 3 ,,
4,< 6,TCU,MWC,,1256,W 30-21 N #24 Oregon State,1-0,, 5 ,,
5,< 5,Texas (1),Big 12,,1192,W 34-17 A Rice,1-0,, 4 ,,
6,< 8,Nebraska,Big 12,,1105,W 49-10 H Western Kentucky,1-0,, 7 ,,
7,< 11,Oregon,Pac-10,,1077,W 72-0 H New Mexico,1-0,, 8 ,,
8,< 4,Florida,SEC,,1065,W 34-12 H Miami (OH),1-0,, 6 ,,
9,< 9,Iowa,Big Ten,,1044,W 37-7 H Eastern Illinois,1-0,, 9 ,,
10,< 7,Oklahoma,Big 12,,917,W 31-24 H Utah State,1-0,, 10 ,,
11,< 12,Wisconsin,Big Ten,,881,W 41-21 A UNLV,1-0,, 11 ,,
12,< 13,Miami (FL),ACC,,877,W 45-0 H Florida A&M,1-0,, 12 ,,
13,< 10,Virginia Tech,ACC,,782,L 33-30 N #3 Boise State,0-1,, 13 ,,
14,< 17,Arkansas,SEC,,572,W 44-3 H Tennessee Tech,1-0,, 15 ,,
15,< 16,Georgia Tech,ACC,,555,W 41-10 H South Carolina State,1-0,, 17 ,,
16,< 14,USC,Pac-10,,520,W 49-36 A Hawaii,1-0,, NR ,,
17,< 20,Florida State,ACC,,504,W 59-6 H Samford,1-0,, 18 ,,
18,< 19,Penn State,Big Ten,,418,W 44-14 H Youngstown State,1-0,, 14 ,,
19,< 21,LSU,SEC,,384,W 30-24 N #18 North Carolina,1-0,, 16 ,,
20,< NR,Utah,MWC,,365,W 27-24 (1OT) H #15 Pittsburgh,1-0,, 20 ,,
21,< 22,Auburn,SEC,,362,W 52-26 H Arkansas State,1-0,, 20 ,,
22,< 23,Georgia,SEC,,353,W 55-7 H Louisiana-Lafayette,1-0,, 19 ,,
23,< 25,West Virginia,Big East,,226,W 31-0 H Coastal Carolina,1-0,, 22 ,,
24,< NR,South Carolina,SEC,,164,W 41-13 H Southern Miss,1-0,, 25 ,,
25,< NR,Stanford,Pac-10,,96,W 52-17 H Sacramento State,1-0,, RV ,,
RV,< NR,Michigan,Big Ten,,71,W 30-10 H Connecticut,1-0,, RV ,,
RV,< NR,Houston,C-USA,,60,W 68-28 H Texas State,1-0,, RV ,,
RV,< 15,Pittsburgh,Big East,,59,L 27-24 (1OT) A Utah,0-1,, RV ,,
RV,< 24,Oregon State,Pac-10,,58,L 30-21 N #6 TCU,0-1,, RV ,,
RV,< 18,North Carolina,ACC,,45,L 30-24 N #21 LSU,0-1,, RV ,,
RV,< NR,Notre Dame,Ind,,38,W 23-12 H Purdue,1-0,, RV ,,
RV,< NR,Arizona,Pac-10,,30,W 41-2 A Toledo,1-0,, 23 ,,
RV,< NR,BYU,MWC,,30,W 23-17 H Washington,1-0,, 24 ,,
RV,< NR,Missouri,Big 12,,25,W 23-13 N Illinois,1-0,, RV ,,
RV,< NR,Fresno State,WAC,,24,W 28-14 H Cincinnati,1-0,, RV ,,
RV,< NR,Kansas State,Big 12,,12,W 31-22 H UCLA,1-0,, RV ,,
RV,< NR,Clemson,ACC,,11,W 35-10 H North Texas,1-0,, RV ,,
RV,< NR,Texas A&M,Big 12,,10,W 48-7 H Stephen F. Austin,1-0,, RV ,,
RV,< NR,Oklahoma State,Big 12,,7,W 65-17 H Washington State,1-0,, RV ,,
RV,< NR,Cincinnati,Big East,,4,L 28-14 A Fresno State,0-1,, RV ,,
RV,< NR,Texas Tech,Big 12,,3,W 35-27 H SMU,1-0,, RV ,,
